timestamp,center_x,center_y
2026-03-04 15:24:45.472,305.78,406.69
2026-03-04 15:24:45.560,294.13,403.65
2026-03-04 15:24:45.651,338.34,417.83
2026-03-04 15:24:45.740,451.58,294.30
2026-03-04 15:24:45.829,687.83,559.24
2026-03-04 15:24:45.923,517.05,230.18
2026-03-04 15:24:46.028,506.93,225.45
2026-03-04 15:24:46.213,317.25,193.73
2026-03-04 15:24:46.300,290.08,216.34
2026-03-04 15:24:46.388,295.31,234.23
2026-03-04 15:24:46.563,463.05,344.93
2026-03-04 15:24:46.653,502.54,420.53
2026-03-04 15:24:46.740,519.41,383.06
2026-03-04 15:24:46.839,497.48,363.15
2026-03-04 15:24:46.930,450.23,309.49
2026-03-04 15:24:47.017,405.00,264.60
2026-03-04 15:24:47.112,387.79,252.79
2026-03-04 15:24:47.202,374.96,281.14
2026-03-04 15:24:47.289,430.31,307.80
2026-03-04 15:24:47.401,437.40,331.76
2026-03-04 15:24:47.489,442.13,351.00
2026-03-04 15:24:47.578,434.03,348.30
2026-03-04 15:24:47.667,433.35,348.64
2026-03-04 15:24:47.754,427.95,326.70
2026-03-04 15:24:47.843,450.23,309.15
2026-03-04 15:24:47.932,431.66,294.98
2026-03-04 15:24:48.020,414.79,286.20
2026-03-04 15:24:48.117,423.90,298.69
2026-03-04 15:24:48.216,452.92,340.88
2026-03-04 15:24:48.306,414.11,351.00
2026-03-04 15:24:48.399,411.41,338.85
2026-03-04 15:24:48.500,586.24,157.28
2026-03-04 15:24:48.591,409.73,310.50
2026-03-04 15:24:48.684,411.75,307.46
2026-03-04 15:24:48.773,329.40,398.25
2026-03-04 15:24:48.863,372.26,433.01
2026-03-04 15:24:48.952,407.70,377.66
2026-03-04 15:24:49.040,449.55,363.83
2026-03-04 15:24:49.142,466.43,307.12
2026-03-04 15:24:49.230,497.81,259.20
2026-03-04 15:24:49.321,480.60,247.39
2026-03-04 15:24:49.408,440.78,265.28
2026-03-04 15:24:49.494,415.80,294.64
2026-03-04 15:24:49.584,390.49,326.02
2026-03-04 15:24:49.672,400.95,390.83
2026-03-04 15:24:49.761,436.05,369.90
2026-03-04 15:24:49.856,430.65,368.89
2026-03-04 15:24:49.945,477.23,321.30
2026-03-04 15:24:50.033,434.70,292.95
2026-03-04 15:24:50.129,479.25,284.51
2026-03-04 15:24:50.218,426.94,275.74
2026-03-04 15:24:50.307,400.95,299.02
2026-03-04 15:24:50.397,398.25,306.45
2026-03-04 15:24:50.486,387.45,339.86
